Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,4196,449646,311731,212978,48588,56821,4474,81094,447848,5871,36294
\\192.168.0.108\htdocs\teranex\themes\site\tokbox,4196,449646,311731,212978,48588,56821,4474,81094,447848,5871,36294
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules,4187,434305,300208,203916,47005,55052,4265,79045,436688,5864,36274
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts,1,239,85,21,28,35,0,119,412,6,18
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn,8,14429,9498,6107,2138,1400,345,3531,16832,17,107
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx,38,15128,10123,2522,2395,1607,187,3398,17000,125,809
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules,35,14434,9521,2239,2304,1538,178,3375,16806,125,809
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn,35,14434,9521,2239,2304,1538,178,3375,16806,125,809
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\bin,1,56,46,38,12,9,0,1,6,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\dist,6,9490,5669,1387,1396,969,118,2852,12904,17,107
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\rollup,4,61,53,17,0,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src,24,4827,3753,797,896,552,60,522,3896,108,702
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\bin,1,59,53,15,7,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\loose,6,1263,1083,225,248,118,4,62,342,30,190
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\node_modules\acorn\src\walk,1,343,284,64,63,22,0,37,291,16,98
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\bin,2,90,80,59,6,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist,6,14339,9418,6048,2132,1390,345,3531,16832,17,107
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv,46,13490,11519,17346,2157,1053,197,918,12830,4,1024
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords,20,1029,914,687,166,104,15,11,85,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords,19,993,892,670,157,96,15,5,54,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv-keywords\keywords\dotjs,3,360,357,310,57,3,9,0,36,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\dist,4,8069,6695,13326,1243,651,113,723,11336,3,1018
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib,39,5272,4702,3918,901,376,80,194,1468,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\compile,10,1244,947,751,221,206,6,91,464,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\lib\dotjs,24,3178,3152,2717,558,26,69,0,276,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ajv\scripts,2,129,106,85,12,22,4,1,26,1,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ansi-escapes,1,107,81,75,19,26,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ansi-regex,1,5,4,6,1,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ansi-styles,1,66,56,21,1,9,1,1,12,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse,23,3573,1993,1725,338,528,5,1052,5029,172,727
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib,22,3569,1991,1723,338,526,5,1052,5029,172,727
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action,10,539,216,204,13,86,0,237,976,81,335
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\append,1,48,17,17,1,6,0,25,122,11,61
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\action\store,3,99,35,37,1,14,0,50,201,26,111
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\argument,3,182,78,76,7,34,0,70,327,24,120
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\argparse\lib\help,2,884,534,463,89,132,3,218,935,13,67
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query,6,153,103,105,9,48,0,2,14,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\aria-query\lib,6,153,103,105,9,48,0,2,14,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array-flatten,1,65,30,10,9,10,0,25,77,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array-union,1,7,5,5,1,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array-uniq,1,63,43,34,11,14,0,6,45,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find,5,215,168,168,17,43,6,4,30,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\array.prototype.find\tests,1,134,110,117,5,24,5,0,10,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\arrify,1,9,7,6,3,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ast-types-flow,1,5046,4877,4848,0,143,0,26,95,3,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ast-types-flow\lib,1,5046,4877,4848,0,143,0,26,95,3,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios,29,3162,1788,1446,288,495,84,879,4505,2,44
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\dist,2,1548,842,752,133,254,77,452,2291,2,44
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib,26,1613,945,693,155,241,7,427,2214,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\adapters,2,405,291,220,45,62,2,52,313,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\cancel,3,84,48,41,6,16,0,20,90,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\core,7,304,170,130,20,47,0,87,436,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\axios\lib\helpers,11,373,219,163,38,63,2,91,493,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\babel-code-frame,1,141,109,85,28,32,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\babel-code-frame\lib,1,141,109,85,28,32,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\balanced-match,1,60,49,36,10,11,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\body-parser,6,1082,587,138,130,189,2,306,904,32,88
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\body-parser\lib,5,924,518,122,115,160,2,246,754,27,75
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\body-parser\lib\types,4,742,404,99,97,135,2,203,630,22,62
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\brace-expansion,1,202,155,115,44,33,0,14,128,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\buffer-from,2,83,61,13,17,22,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\builtin-modules,2,14,10,6,1,4,1,0,5,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\bytes,1,160,75,57,18,27,0,58,211,6,17
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\caller-path,1,7,5,5,1,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\callsites,1,9,8,9,1,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\chalk,1,117,78,69,14,25,0,14,139,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\circular-json,3,376,257,141,57,22,2,97,737,45,345
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\circular-json\build,3,376,257,141,57,22,2,97,737,45,345
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\cli-cursor,1,27,22,20,2,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\cli-width,1,50,41,30,14,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\co,1,238,100,81,31,33,0,105,326,3,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\code-point-at,1,33,23,18,8,9,0,1,4,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\concat-map,3,61,53,53,8,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\concat-map\example,1,7,6,6,1,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\concat-map\test,1,40,35,36,3,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\concat-stream,1,145,125,38,37,20,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\contains-path,1,34,19,15,4,9,0,6,10,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\content-disposition,1,446,173,43,39,89,2,184,779,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\content-type,1,223,101,23,24,44,0,78,310,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\cookie,1,196,101,74,28,38,0,57,207,6,18
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\cookie-signature,1,52,20,14,7,9,0,23,67,3,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\core-util-is,2,177,120,105,17,35,1,22,191,22,189
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\core-util-is\lib,1,108,68,47,17,18,1,22,191,22,189
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\d,6,494,440,407,36,49,3,5,57,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\d\test,3,279,247,253,1,32,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\damerau-levenshtein,2,242,194,123,16,37,5,11,64,2,20
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\damerau-levenshtein\test,1,169,146,92,0,23,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\debug,7,738,327,242,61,128,4,283,1136,20,78
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\debug\src,5,665,319,241,61,121,3,225,955,18,67
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\deep-is,5,172,124,98,30,27,1,21,174,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\deep-is\example,1,12,11,6,0,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\deep-is\test,3,57,44,42,0,13,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\define-properties,2,184,156,124,10,26,2,2,18,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\define-properties\test,1,127,110,83,3,17,1,0,5,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\del,1,74,56,51,13,18,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\depd,5,808,451,107,93,185,6,172,527,28,70
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\depd\lib,4,285,145,38,26,65,0,75,216,20,52
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\depd\lib\browser,1,78,35,9,7,18,0,25,86,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\depd\lib\compat,3,207,110,29,19,47,0,50,130,15,39
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\destroy,1,76,28,8,9,17,0,31,72,5,12
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\doctrine,3,2242,1695,1138,419,301,82,246,997,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\doctrine\lib,3,2242,1695,1138,419,301,82,246,997,17,60
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\ee-first,1,96,52,11,9,21,0,23,74,5,12
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\emoji-regex,4,32,20,1330,4,8,0,4,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\emoji-regex\es2015,2,16,10,1322,2,4,0,2,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\encodeurl,1,61,10,1,1,12,0,39,183,5,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\error-ex,1,134,102,79,25,30,0,2,13,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-abstract,27,3406,2817,2253,263,474,237,115,557,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-abstract\helpers,6,34,27,26,9,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-abstract\operations,4,245,237,12,0,8,225,0,225,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-abstract\test,10,2160,1817,1689,21,336,1,7,21,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-abstract\test\helpers,1,54,50,43,0,4,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-to-primitive,7,363,296,351,30,64,0,3,3,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-to-primitive\helpers,1,4,3,3,1,1,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es-to-primitive\test,3,231,186,261,0,45,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext,811,18594,16036,8116,1064,2366,82,192,876,90,289
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array,94,1445,1134,819,242,285,23,26,115,10,33
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#,78,1133,882,634,188,234,20,17,86,10,33
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\@@iterator,4,37,28,22,9,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\concat,4,71,59,44,13,11,1,1,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\copy-within,4,70,56,36,8,13,1,1,5,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\entries,4,37,29,25,11,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\fill,4,48,35,22,6,12,1,1,6,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\filter,4,50,39,28,8,11,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\find,4,36,25,21,6,10,1,1,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\find-index,4,54,43,28,10,11,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\keys,4,36,28,24,10,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\map,4,45,34,25,6,11,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\slice,4,59,49,36,12,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\splice,4,40,29,22,5,10,1,1,4,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\#\values,4,35,27,24,9,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\from,4,145,124,83,29,12,1,9,26,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\array\of,4,44,35,27,7,9,1,0,1,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\boolean,2,17,12,8,1,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\date,12,154,118,87,25,35,0,1,4,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\date\#,7,103,80,57,17,22,0,1,4,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\error,6,61,45,35,9,16,1,0,3,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\error\#,2,14,9,8,0,5,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\function,20,327,250,189,44,72,5,5,17,1,3
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\function\#,10,179,137,97,22,41,4,1,7,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\iterable,5,53,38,28,6,15,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\json,2,48,43,22,9,5,1,0,3,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math,75,880,647,510,189,198,2,35,104,17,44
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\acosh,4,36,27,22,9,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\asinh,4,39,30,24,10,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\atanh,4,38,29,24,11,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\cbrt,4,36,27,22,9,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\clz32,4,31,22,17,5,8,0,1,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\cosh,4,35,26,21,8,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\expm1,4,40,28,23,10,11,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\fround,4,59,43,36,13,14,0,2,5,2,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\hypot,4,67,54,42,19,11,1,2,8,1,4
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\imul,4,41,25,17,5,11,0,5,29,3,7
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\log10,4,38,28,23,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\log1p,4,41,29,24,11,11,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\log2,4,38,28,23,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\sign,4,31,23,18,6,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\sinh,4,42,30,22,9,10,0,2,9,2,9
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\tanh,4,41,32,27,11,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\math\trunc,4,37,28,23,10,9,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number,33,273,192,139,36,78,1,3,8,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\#,2,22,15,11,1,7,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\epsilon,3,19,13,10,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-finite,4,29,21,16,5,8,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-integer,4,32,22,17,6,9,0,1,2,1,2
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-nan,4,30,21,17,5,8,0,1,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\is-safe-integer,4,36,26,18,6,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\max-safe-integer,3,19,13,10,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\number\min-safe-integer,3,19,13,10,2,6,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object,75,1270,997,755,208,253,17,20,139,10,47
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object\assign,4,49,40,34,8,9,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object\keys,4,36,26,20,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\object\set-prototype-of,4,112,90,72,20,19,2,3,19,3,13
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\promise,4,72,57,43,4,13,0,2,10,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\promise\#,2,26,20,14,0,5,0,1,8,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp,27,243,160,125,30,72,0,11,46,3,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#,23,205,137,105,26,60,0,8,40,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\match,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\replace,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\search,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\split,4,33,23,18,5,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\sticky,2,21,12,10,2,5,0,4,20,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\reg-exp\#\unicode,2,21,12,10,2,5,0,4,20,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string,55,8208,7978,1018,168,189,13,41,189,23,77
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#,42,7996,7812,903,134,150,9,34,171,18,71
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\@@iterator,4,38,28,25,10,10,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\code-point-at,4,52,34,25,9,13,0,5,16,2,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\contains,4,33,23,17,5,10,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\ends-with,4,44,34,22,5,10,1,0,2,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\normalize,5,7547,7491,666,68,40,1,16,72,11,54
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\repeat,4,50,34,26,10,12,0,4,7,3,5
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\es5-ext\string\#\starts-with,4,39,28,19,5,11,1,0,2,0,0
